,Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,3P%,2P%,FT%,TmNetRtg,Next Rtg,Next WS,Veteran Value,VV Class,Starters
38,1997,Derrick McKey,SF,30.0,IND,50.0,1449.0,10.6,0.462,0.153,0.325,6.7,13.0,15.2,1.7,1.7,16.1,16.5,0.0,1.8,1.8,0.061,-1.4,2.2,0.259,0.414,0.724,1.3,6.8,2.1,72.88135593220339,0,0
39,1997,Reggie Miller,SG,31.0,IND,81.0,2966.0,20.2,0.603,0.431,0.382,2.2,9.2,17.4,1.4,0.7,10.3,25.2,9.6,2.7,12.3,0.2,6.1,-1.1,0.427,0.456,0.88,1.3,6.8,12.0,29.88135593220332,0,1
40,1997,Rik Smits,C,30.0,IND,52.0,1518.0,18.3,0.535,0.011,0.296,8.4,19.8,9.2,0.8,3.2,13.2,29.1,1.2,2.1,3.3,0.105,-1.2,0.2,0.25,0.488,0.797,1.3,6.8,6.1,2468.31955922865,0,1
41,1997,Danny Ferry,PF,30.0,CLE,82.0,2633.0,11.7,0.523,0.358,0.11,4.0,12.8,10.4,1.2,1.1,10.1,17.6,2.2,3.4,5.6,0.102,-0.6,0.3,0.401,0.445,0.851,1.9,2.8,1.0,1.2173913043478262,0,1
43,1997,Sam Mitchell,SF,33.0,MIN,82.0,2044.0,11.8,0.523,0.041,0.489,6.5,12.3,6.3,1.3,0.7,11.3,18.5,1.8,1.5,3.3,0.077,-2.1,-1.4,0.16,0.458,0.759,-1.7,0.8,6.1,100.0,0,1
44,1997,Terry Porter,PG,33.0,MIN,82.0,1568.0,14.5,0.544,0.445,0.37,2.4,10.9,30.2,1.8,0.5,19.7,19.0,1.5,1.2,2.7,0.082,0.3,-2.1,0.335,0.482,0.765,-1.7,0.8,5.2,20.58823529411764,0,1
45,1997,Horace Grant,PF,31.0,ORL,67.0,2496.0,17.3,0.546,0.009,0.258,9.4,19.0,11.4,2.2,2.0,11.3,16.1,4.1,3.6,7.7,0.148,0.5,2.9,0.167,0.518,0.715,-0.5,-1.2,7.1,2.642156862745095,0,1
46,1997,Rony Seikaly,C,31.0,ORL,74.0,2615.0,18.3,0.567,0.003,0.551,12.0,19.6,6.5,1.0,3.2,16.2,23.7,3.5,3.3,6.8,0.125,-0.8,0.5,0.0,0.509,0.714,-0.5,-1.2,2.8,0.34999999999999987,0,1
47,1997,Brian Shaw,PG,30.0,ORL,77.0,1867.0,10.4,0.478,0.376,0.271,2.9,9.5,27.8,1.9,1.1,22.7,18.5,-0.6,1.7,1.1,0.029,-2.2,-0.6,0.325,0.391,0.793,-0.5,-1.2,-0.3,0.1617647058823529,0,0
48,1997,Gerald Wilkins,SG,33.0,ORL,80.0,2202.0,11.2,0.503,0.267,0.25,3.1,6.2,13.8,1.3,0.4,12.7,20.2,0.9,1.2,2.1,0.046,-1.3,-1.8,0.325,0.462,0.716,-0.5,-1.2,-1.2,-66483.51648351648,1,0
50,1997,Derek Harper,PG,35.0,DAL,75.0,2210.0,12.9,0.516,0.261,0.19,1.6,5.7,25.3,2.2,0.4,15.3,17.9,1.5,1.2,2.7,0.058,-0.5,-1.6,0.341,0.48,0.742,-6.5,-6.3,2.3,-6267.806267806273,1,0
51,1997,Tim Hardaway,PG,30.0,MIA,81.0,3136.0,20.8,0.532,0.426,0.263,1.9,8.5,41.9,2.6,0.2,13.0,26.6,7.9,5.0,12.9,0.198,5.3,-0.2,0.344,0.469,0.799,6.0,5.2,11.7,-3935.5992844364973,1,1
52,1997,Dan Majerle,SF,31.0,MIA,36.0,1264.0,13.2,0.523,0.579,0.17,4.3,10.8,15.3,2.3,0.9,11.8,15.7,1.4,2.1,3.5,0.133,1.3,2.1,0.338,0.5,0.678,6.0,5.2,5.3,21758.24175824176,0,1
53,1997,Ron Harper,PG,33.0,CHI,76.0,1740.0,13.6,0.543,0.463,0.202,3.0,9.4,15.1,2.6,1.6,10.2,12.6,3.0,2.7,5.7,0.157,1.0,1.7,0.362,0.5,0.707,11.8,7.8,7.2,11133.603238866397,0,1
54,1997,Michael Jordan,SG,33.0,CHI,82.0,3106.0,27.8,0.567,0.157,0.304,4.2,13.2,21.2,2.4,1.1,7.2,33.2,13.3,5.0,18.3,0.283,6.5,0.2,0.374,0.507,0.833,11.8,7.8,15.8,-647.1095772217427,1,1
55,1997,Steve Kerr,PG,31.0,CHI,82.0,1861.0,15.6,0.667,0.507,0.143,1.8,6.0,13.5,1.9,0.1,8.0,12.9,5.4,2.0,7.5,0.192,3.3,-0.8,0.464,0.604,0.806,11.8,7.8,3.8,-7254.901960784314,1,0
56,1997,Scottie Pippen,SF,31.0,CHI,82.0,3095.0,21.3,0.554,0.31,0.213,5.9,13.3,24.3,2.7,1.1,12.5,24.6,7.8,5.2,13.1,0.203,4.9,1.7,0.368,0.522,0.701,11.8,7.8,6.6,-7296.811854512797,1,1
57,1997,Dennis Rodman,PF,35.0,CHI,55.0,1947.0,13.9,0.479,0.066,0.308,18.9,32.2,11.4,0.9,0.7,25.5,10.0,2.0,4.0,6.0,0.148,-0.1,3.4,0.263,0.461,0.568,11.8,7.8,7.8,140.0,0,1
58,1997,Hersey Hawkins,SG,30.0,SEA,82.0,2755.0,17.6,0.616,0.447,0.371,4.0,10.0,14.6,3.1,0.4,12.3,17.5,7.0,3.9,10.9,0.19,3.6,0.8,0.403,0.514,0.875,8.5,7.9,8.6,6.634782608695651,0,1
59,1997,Sam Perkins,C,35.0,SEA,81.0,1976.0,17.0,0.584,0.467,0.346,4.5,13.8,8.5,1.9,2.1,9.2,19.4,4.4,2.7,7.1,0.173,1.8,-0.1,0.395,0.477,0.817,8.5,7.9,4.5,3.8230769230769233,0,0
60,1997,Detlef Schrempf,SF,34.0,SEA,61.0,2192.0,18.3,0.592,0.222,0.436,4.8,16.9,20.4,1.5,0.6,14.8,21.1,5.1,2.9,8.0,0.174,2.3,0.5,0.354,0.531,0.801,8.5,7.9,10.4,140.0,0,1
64,1997,Chris Mullin,SF,33.0,GSW,79.0,2733.0,17.6,0.645,0.255,0.269,3.3,10.5,19.9,2.5,0.9,17.8,17.6,6.0,1.1,7.1,0.124,3.0,-0.2,0.411,0.602,0.864,-5.0,-9.6,7.6,21.668472372697742,0,1
65,1997,Mark Price,PG,32.0,GSW,70.0,1876.0,16.5,0.597,0.48,0.29,2.3,9.1,29.8,1.9,0.1,19.5,19.6,3.7,0.3,4.0,0.102,2.7,-2.8,0.396,0.493,0.906,-5.0,-9.6,1.7,-176.92307692307705,1,1
66,1997,Olden Polynice,C,32.0,SAC,82.0,2893.0,13.1,0.476,0.006,0.26,10.9,20.4,10.2,0.8,2.1,13.4,19.3,0.6,2.7,3.3,0.055,-2.1,0.6,0.0,0.46,0.562,-3.7,-5.9,1.5,0.2444444444444444,0,0
67,1997,Mitch Richmond,SG,31.0,SAC,81.0,3125.0,21.6,0.578,0.302,0.337,2.2,9.8,20.6,2.0,0.6,11.6,29.4,8.7,2.1,10.8,0.166,5.2,-1.9,0.428,0.466,0.861,-3.7,-5.9,7.9,0.49655172413793086,0,1
69,1998,Nick Anderson,SF,30.0,ORL,58.0,1701.0,19.6,0.529,0.284,0.264,6.6,14.1,14.1,2.3,1.0,9.2,25.0,3.1,2.1,5.3,0.149,3.4,-0.1,0.36,0.493,0.638,-1.2,2.6,3.9,1.2832929782082325,0,1
70,1998,Horace Grant,C,32.0,ORL,76.0,2803.0,15.4,0.488,0.008,0.232,9.4,16.8,11.0,1.6,2.0,8.5,16.9,3.6,3.6,7.1,0.122,0.2,2.1,0.0,0.462,0.678,-1.2,2.6,4.1,0.8022598870056497,0,1
71,1998,Derek Harper,SG,36.0,ORL,66.0,1761.0,11.5,0.491,0.303,0.146,1.5,5.5,23.2,2.3,0.4,14.9,17.6,0.9,1.5,2.3,0.063,-0.5,-1.3,0.36,0.442,0.696,-1.2,2.6,2.0,2.5988700564971765,0,0
77,1998,Dale Ellis,SF,37.0,SEA,79.0,1939.0,16.6,0.612,0.391,0.203,3.2,8.1,7.7,1.7,0.2,8.8,20.0,4.6,1.4,6.0,0.149,2.8,-2.3,0.464,0.519,0.782,7.9,-0.9,2.4,0.5649717514124294,0,0
78,1998,Hersey Hawkins,SG,31.0,SEA,82.0,2597.0,15.4,0.594,0.473,0.321,3.3,11.9,12.8,3.0,0.5,12.3,14.8,5.3,3.3,8.6,0.158,2.4,1.2,0.415,0.463,0.868,7.9,-0.9,3.5,0.5716184778996345,0,1
80,1998,Detlef Schrempf,SF,35.0,SEA,78.0,2742.0,18.7,0.585,0.164,0.392,6.0,17.9,20.3,1.2,0.5,13.8,20.6,7.5,2.9,10.4,0.182,2.7,0.3,0.415,0.501,0.844,7.9,-0.9,5.8,0.15959079283887456,0,1
81,1998,Charles Barkley,PF,34.0,HOU,68.0,2243.0,21.6,0.564,0.113,0.534,12.9,28.8,16.6,1.7,0.9,13.8,21.6,6.1,2.5,8.6,0.183,2.8,1.3,0.214,0.52,0.746,-0.9,2.5,6.8,0.3372549019607841,0,1
