Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,FG%,3P%,2P%,eFG%,FT%,PF,Target
1981.0,Steve Mix,SF,33.0,PHI,72.0,1327.0,19.7,0.57,0.005,0.417,9.3,12.2,12.3,2.1,0.8,11.4,23.4,3.3,2.2,5.5,0.201,2.0,0.1,0.501,0.0,0.503,0.501,0.833,107.0,3.7
1981.0,Calvin Murphy,PG,32.0,HOU,76.0,2014.0,18.1,0.542,0.016,0.2,1.8,3.0,17.2,2.6,0.2,9.9,26.1,4.0,1.3,5.4,0.128,1.9,-2.5,0.492,0.235,0.496,0.493,0.958,209.0,1.3
1981.0,Swen Nater,C,31.0,SDC,82.0,2809.0,18.2,0.597,0.0,0.328,11.7,31.4,10.2,0.8,1.0,16.5,18.6,5.5,3.1,8.6,0.147,1.1,0.8,0.553,,0.553,0.553,0.795,295.0,
1981.0,Mike Newlin,SG,32.0,NJN,79.0,2911.0,15.6,0.571,0.024,0.366,3.0,5.6,15.5,1.4,0.2,14.4,23.4,4.8,1.3,6.1,0.1,1.5,-2.1,0.497,0.333,0.501,0.501,0.888,237.0,1.5
1981.0,Tom Owens,PF,31.0,POR,79.0,1843.0,15.1,0.564,0.006,0.397,9.7,17.2,9.9,0.9,1.4,14.9,18.7,3.1,1.8,4.8,0.125,0.3,-0.4,0.511,0.0,0.514,0.511,0.764,273.0,3.2
1981.0,Billy Paultz,PF,32.0,HOU,81.0,1659.0,12.9,0.513,0.006,0.296,7.4,19.0,8.5,0.8,2.4,13.2,16.5,1.0,1.6,2.7,0.077,-1.6,0.7,0.507,0.0,0.51,0.507,0.49,182.0,
1981.0,Kevin Porter,PG,30.0,WSB,81.0,2577.0,16.2,0.561,0.014,0.288,1.4,3.7,39.3,2.0,0.2,20.6,19.0,3.8,2.6,6.4,0.119,0.8,-2.0,0.519,0.25,0.523,0.521,0.773,257.0,
1981.0,Dave Robisch,C,31.0,TOT,84.0,2116.0,14.1,0.507,0.0,0.334,7.5,17.2,10.4,0.8,0.8,8.9,16.5,3.2,0.9,4.2,0.095,-0.1,-0.8,0.446,,0.446,0.446,0.81,173.0,
1981.0,James Silas,PG,31.0,SAS,75.0,2055.0,19.4,0.557,0.002,0.441,2.4,9.5,20.7,1.2,0.3,11.8,26.1,5.7,1.3,7.0,0.164,2.2,-2.5,0.477,0.0,0.478,0.477,0.85,129.0,2.4
1981.0,Randy Smith,SG,32.0,CLE,82.0,2199.0,17.0,0.514,0.027,0.26,2.2,7.8,23.9,2.4,0.4,14.4,24.8,2.1,1.3,3.3,0.073,0.6,-1.6,0.466,0.036,0.478,0.466,0.815,132.0,2.4
1981.0,Rudy Tomjanovich,PF,32.0,HOU,52.0,1264.0,13.5,0.503,0.091,0.146,6.8,11.6,9.2,0.7,0.3,8.8,21.1,1.5,0.6,2.1,0.079,0.2,-2.0,0.467,0.235,0.49,0.478,0.793,121.0,
1981.0,Wes Unseld,C,34.0,WSB,63.0,2032.0,13.5,0.543,0.009,0.2,10.6,24.3,10.6,1.2,1.0,17.2,11.1,2.1,3.4,5.5,0.13,-0.3,3.9,0.524,0.5,0.525,0.527,0.64,171.0,
1981.0,Paul Westphal,SG,30.0,SEA,36.0,1078.0,16.5,0.517,0.05,0.368,1.1,5.7,21.5,2.0,0.7,11.8,24.9,1.5,0.9,2.4,0.106,0.6,-1.8,0.442,0.24,0.453,0.448,0.832,70.0,
1981.0,Sidney Wicks,PF,31.0,SDC,49.0,1083.0,9.7,0.463,0.003,0.524,8.1,16.2,13.4,1.8,2.1,21.1,16.8,-0.7,1.0,0.4,0.016,-2.9,1.7,0.437,0.0,0.439,0.437,0.507,168.0,
1982.0,Kareem Abdul-Jabbar,C,34.0,LAL,76.0,2677.0,23.4,0.608,0.002,0.34,7.3,19.1,11.9,1.1,4.1,13.3,25.6,6.9,3.9,10.7,0.192,2.9,1.4,0.579,0.0,0.58,0.579,0.706,224.0,10.9
1982.0,Tiny Archibald,PG,33.0,BOS,68.0,2167.0,14.3,0.542,0.025,0.485,1.3,4.5,31.9,1.1,0.1,18.4,17.9,3.4,1.8,5.2,0.115,0.1,-2.5,0.472,0.375,0.475,0.477,0.747,131.0,2.9
